"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"373135 (2011 SD173)",1.653,0.4974,4.39,203.12,59.49,0.831,2.48,2.13,19.52,1.050,122.83,2460335.66
"374038 (2004 HW)",2.691,0.6353,0.83,219.87,62.78,0.981,4.40,4.41,17.20,,223.39,2461212.34
"374158 (2004 UL)",1.266,0.9266,23.85,39.47,149.68,0.093,2.44,1.43,18.67,,319.04,2460659.72
"374851 (2006 VV2)",2.387,0.6054,23.73,9.82,145.04,0.942,3.83,3.69,16.72,,280.26,2460898.79
"374855 (2006 VQ13)",1.099,0.4458,16.70,233.68,73.80,0.609,1.59,1.15,20.11,,251.14,2460727.81
"375054 (2007 PF6)",1.298,0.4164,25.60,316.33,251.27,0.758,1.84,1.48,20.81,,279.71,2460721.01
"375103 (2007 TD71)",1.286,0.2799,49.75,49.58,220.75,0.926,1.65,1.46,18.50,,308.16,2460677.22
"377097 (2002 WQ4)",1.958,0.5564,3.94,266.87,244.62,0.869,3.05,2.74,19.69,,320.91,2460709.15
"377732 (2005 XJ8)",1.931,0.6204,23.56,115.79,67.46,0.733,3.13,2.68,17.07,0.986,337.57,2460661.60
"378160 (2006 WX1)",0.9165,0.3003,11.64,327.96,290.95,0.641,1.19,0.877,19.68,,314.59,2460640.93
